name,rank
Comrade #1003,8144
Comrade #1004,826
Comrade #1005,4971
Comrade #1006,7892
Comrade #1007,4218
Comrade #1008,3738
Comrade #1009,9200
Comrade #1010,1595
Comrade #1011,6403
Comrade #1012,1053
Comrade #1013,6933
Comrade #1014,8086
Comrade #1015,6677
Comrade #1016,20
Comrade #1017,658
Comrade #1018,8870
Comrade #1019,4546
Comrade #1020,59
Comrade #1021,8627
Comrade #1022,9060
Comrade #1023,4540
Comrade #1024,3601
Comrade #1025,3333
Comrade #1026,3297
Comrade #1027,5826
Comrade #1028,7990
Comrade #1029,7109
Comrade #1030,7647
Comrade #1031,1316
Comrade #1032,6334
Comrade #1033,2552
Comrade #1034,4679
Comrade #1035,3149
Comrade #1036,3103
Comrade #1037,5257
Comrade #1038,2188
Comrade #1039,1985
Comrade #1040,874
Comrade #1041,2450
Comrade #1042,7303
Comrade #1043,7145
Comrade #1044,8797
Comrade #1045,1473
Comrade #1046,2257
Comrade #1047,4997
Comrade #1048,5396
Comrade #1049,8266
Comrade #1050,6342
Comrade #1051,5860
Comrade #1052,4326
Comrade #1053,2830
Comrade #1054,5313
Comrade #1055,489
Comrade #1056,2042
Comrade #1057,5209
Comrade #1058,5692
Comrade #1059,4935
Comrade #1060,3809
Comrade #1061,1135
Comrade #1062,2809
Comrade #1063,199
Comrade #1064,6559
Comrade #1065,2637
Comrade #1066,2857
Comrade #1067,6533
Comrade #1068,5300
Comrade #1069,3655
Comrade #1070,5089
Comrade #1071,5461
Comrade #1072,9789
Comrade #1073,9111
Comrade #1074,2927
Comrade #1075,4439
Comrade #1076,8711
Comrade #1077,889
Comrade #1078,5975
Comrade #1079,1073
Comrade #1080,6560
Comrade #1081,7255
Comrade #1082,7451
Comrade #1083,7837
Comrade #1084,1515
Comrade #1085,1821
Comrade #1086,883
Comrade #1087,9794
Comrade #1088,2391
Comrade #1089,3186
Comrade #1090,5218
Comrade #1091,3483
Comrade #1092,2398
Comrade #1093,5403
Comrade #1094,1392
Comrade #1095,8976
Comrade #1096,6359
Comrade #1097,2370
Comrade #1098,359
Comrade #1099,6905
Comrade #1100,6256
Comrade #1101,8968
Comrade #1102,5044
Comrade #1103,4545
Comrade #1104,1498
Comrade #1105,6391
Comrade #1106,7543
Comrade #1107,7217
